Date of Admission,Admission Type,Patient Status,Count
2024-01-31,Urgent,discharge,3
2019-08-20,Emergency,discharge,7
2022-09-22,Emergency,admission,8
2020-11-18,Elective,discharge,2
2022-09-19,Urgent,discharge,10
2023-12-20,Urgent,admission,2
2020-11-03,Emergency,discharge,10
2021-12-28,Emergency,discharge,2
2020-07-01,Elective,admission,1
2021-05-23,Elective,admission,6
2020-04-19,Urgent,discharge,8
2023-08-13,Urgent,admission,6
2019-12-12,Emergency,discharge,7
2020-05-22,Urgent,discharge,6
2021-10-08,Urgent,admission,9
2023-01-01,Elective,discharge,1
2020-06-23,Elective,admission,7
2020-03-08,Urgent,discharge,4
2021-03-04,Elective,admission,6
2022-11-15,Elective,admission,3
2023-06-28,Elective,admission,4
2020-01-21,Urgent,admission,9
2022-05-12,Urgent,discharge,3
2021-08-02,Urgent,discharge,9
2020-05-15,Emergency,discharge,7
2020-05-15,Urgent,admission,8
2023-12-23,Elective,discharge,9
2022-06-21,Emergency,admission,2
2021-01-03,Emergency,discharge,2
2023-10-03,Elective,discharge,1
2019-08-18,Urgent,discharge,1
2019-11-03,Urgent,admission,1
2023-05-18,Elective,admission,1
2023-05-24,Elective,discharge,3
2020-01-17,Emergency,admission,4
2021-01-07,Elective,discharge,1
2019-10-14,Urgent,admission,2
2021-12-19,Urgent,admission,6
2022-03-12,Emergency,admission,5
2021-01-17,Urgent,admission,4
2021-09-15,Emergency,discharge,3
2020-01-27,Urgent,discharge,2
2022-06-24,Elective,admission,4
2021-06-09,Urgent,discharge,7
2020-08-23,Urgent,admission,2
2022-10-12,Emergency,discharge,3
2021-12-01,Elective,discharge,5
2020-05-04,Urgent,discharge,2
2023-09-09,Urgent,admission,8
2019-07-19,Urgent,discharge,8
2024-04-05,Emergency,discharge,6
2019-06-15,Emergency,admission,3
2022-10-29,Urgent,discharge,8
2022-04-08,Elective,admission,10
2023-08-17,Elective,admission,3
2023-11-05,Emergency,discharge,10
2023-04-09,Emergency,admission,2
2022-09-21,Emergency,discharge,3
2021-01-21,Urgent,discharge,2
2020-07-10,Elective,admission,10
2019-11-06,Elective,discharge,10
2024-04-07,Emergency,discharge,9
2022-07-06,Emergency,admission,10
2022-08-03,Elective,discharge,4
2020-05-08,Emergency,discharge,8
2019-12-09,Urgent,discharge,9
2019-11-21,Emergency,admission,7
2023-01-07,Elective,admission,1
2024-02-06,Emergency,admission,10
2020-01-30,Elective,admission,2
2022-10-24,Urgent,discharge,1
2022-01-09,Emergency,admission,10
2023-12-28,Emergency,discharge,8
2021-09-16,Urgent,discharge,2
2023-07-24,Elective,admission,3
2021-11-13,Emergency,admission,8
2023-10-11,Urgent,discharge,2
2021-01-30,Emergency,discharge,6
2021-11-21,Emergency,discharge,3
2024-03-02,Urgent,admission,5
2020-12-04,Emergency,discharge,1
2020-08-26,Urgent,admission,3
2023-11-12,Elective,admission,8
2020-05-30,Emergency,discharge,10
2023-05-12,Emergency,discharge,10
2022-07-07,Emergency,admission,10
2020-09-24,Emergency,discharge,1
2023-08-19,Emergency,discharge,3
2023-05-16,Elective,discharge,1
2022-08-22,Elective,discharge,2
2022-06-17,Elective,discharge,8
2022-11-05,Emergency,discharge,5
2021-09-10,Elective,admission,6
2022-09-06,Urgent,discharge,5
2021-04-17,Elective,admission,5
2019-08-19,Elective,admission,9
2024-03-24,Elective,discharge,3
2022-12-10,Elective,admission,10
2022-09-14,Elective,discharge,5
2022-10-18,Elective,discharge,7
2021-11-13,Elective,admission,7
2022-07-08,Emergency,discharge,8
2023-06-25,Urgent,admission,6
2019-07-09,Elective,admission,6
2021-05-14,Emergency,admission,4
2024-01-15,Elective,discharge,4
2019-09-30,Elective,discharge,2
2021-03-05,Emergency,admission,4
2021-05-14,Elective,admission,6
2023-06-08,Elective,admission,2
2022-05-13,Elective,discharge,2
2022-09-22,Emergency,admission,3
2023-08-25,Urgent,discharge,2
2019-06-02,Emergency,discharge,7
2021-11-19,Elective,admission,4
2019-12-02,Elective,discharge,8
2020-08-21,Elective,discharge,2
2021-02-12,Elective,discharge,5
2024-01-13,Urgent,admission,8
2021-12-26,Urgent,discharge,3
2022-08-22,Urgent,discharge,4
2021-07-03,Elective,admission,1
2020-05-31,Urgent,admission,2
2020-10-26,Elective,admission,10
2021-06-03,Urgent,admission,2
2020-10-24,Urgent,discharge,3
2019-08-27,Urgent,admission,2
2021-11-30,Emergency,discharge,2
2023-10-15,Emergency,admission,3
2024-03-17,Emergency,discharge,8
2019-10-13,Emergency,discharge,8
2020-03-02,Elective,discharge,5
2019-11-05,Urgent,admission,3
2021-02-07,Emergency,admission,10
2021-10-25,Urgent,discharge,9
2022-07-24,Elective,admission,4
2020-03-04,Emergency,admission,1
2021-08-01,Elective,discharge,10
2020-01-24,Elective,admission,7
2021-07-30,Elective,admission,6
2024-01-04,Urgent,admission,3
2024-01-05,Elective,admission,4
2020-08-11,Emergency,admission,4
2022-06-17,Elective,admission,3
2022-04-02,Emergency,admission,1
2020-06-03,Elective,admission,8
2019-08-16,Urgent,discharge,10
2024-02-22,Urgent,discharge,6
2021-05-06,Elective,admission,4
2021-10-27,Elective,admission,7
2020-09-01,Emergency,discharge,9
2021-05-26,Urgent,admission,5
2022-06-22,Elective,discharge,6
2023-05-17,Elective,admission,1
2021-06-23,Elective,discharge,3
2023-11-17,Urgent,discharge,7
2020-10-11,Elective,admission,2
2021-08-10,Emergency,admission,9
2023-08-29,Urgent,discharge,8
2020-02-27,Elective,discharge,4
2021-07-07,Elective,admission,6
2022-06-03,Elective,admission,10
2020-02-20,Emergency,discharge,5
2021-02-05,Elective,admission,1
2020-10-24,Emergency,admission,8
2023-12-06,Elective,admission,6
2021-12-21,Urgent,admission,3
2023-09-03,Elective,discharge,4
2020-10-18,Elective,admission,2
2021-07-07,Elective,admission,1
2023-08-28,Urgent,admission,5
2019-11-17,Urgent,discharge,2
2020-11-22,Elective,admission,9
2021-11-13,Urgent,admission,1
2022-02-13,Elective,discharge,9
2019-05-16,Urgent,discharge,4
2021-08-04,Urgent,discharge,2
2020-01-03,Elective,discharge,7
2022-09-13,Urgent,discharge,9
2020-12-19,Emergency,discharge,7
2023-03-31,Urgent,admission,3
2020-05-08,Emergency,admission,1
2023-07-31,Urgent,admission,10
2022-01-09,Emergency,admission,7
2023-12-16,Elective,admission,10
2020-12-05,Elective,admission,9
2021-11-11,Urgent,discharge,10
2019-09-11,Emergency,discharge,3
2020-12-15,Urgent,discharge,2
2022-12-08,Elective,discharge,9
2021-07-15,Elective,admission,2
2022-06-16,Urgent,discharge,8
2024-02-09,Urgent,discharge,1
2024-03-04,Emergency,admission,9
2022-02-11,Elective,admission,6
2022-02-08,Emergency,discharge,4
2023-06-15,Urgent,admission,1
2021-10-11,Urgent,discharge,4
2021-12-12,Elective,discharge,5
2023-07-09,Emergency,admission,2
2020-09-08,Emergency,discharge,10
2020-08-31,Urgent,admission,3
2024-04-10,Emergency,admission,4
2021-08-10,Elective,admission,5
2022-01-25,Elective,discharge,2
2023-09-12,Elective,admission,10
2020-08-05,Elective,admission,10
2022-05-07,Urgent,discharge,8
2022-02-13,Urgent,admission,3
2024-03-03,Urgent,admission,4
2020-03-14,Emergency,discharge,10
2024-02-07,Emergency,admission,3
2019-07-21,Elective,discharge,5
2023-04-14,Elective,admission,4
2024-01-17,Elective,admission,10
2019-06-25,Urgent,discharge,9
2021-05-20,Emergency,discharge,4
2020-04-03,Emergency,admission,10
2020-01-21,Emergency,admission,2
2021-12-02,Emergency,admission,4
2021-05-28,Urgent,admission,3
2020-03-23,Urgent,discharge,8
2022-08-06,Urgent,discharge,6
2024-03-09,Elective,admission,1
2022-03-15,Elective,admission,6
2020-08-08,Elective,admission,2
2019-06-09,Elective,admission,5
2019-09-07,Urgent,discharge,7
2021-02-14,Elective,admission,5
2019-11-10,Urgent,discharge,8
2023-04-16,Urgent,admission,10
